type,date,shop,category,name,amount,price
buy,2020-01-14,Крокус,Посуда,Набор ножей «Overlord»,3,177.02
buy,2020-01-12,Крокус,Посуда,Набор ножей «Overlord»,5,171.72
sale,2020-01-23,ТГК-2,,Ручка шариковая MAZARi Silvano Smart Ink,6,128.99
sale,2020-01-28,ТГК-2,,Ручка шариковая MAZARi Silvano Smart Ink,1,6.81
sale,2020-01-31,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,1,818.34
buy,2020-01-11,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,9,43.88
buy,2020-01-03,ООО «Дьячкова Коновалов»,Быловая химия,Жидкий кислород Planet Aquafair,3,3316.86
buy,2020-01-06,ТГК-2,Посуда,Сковорода блинная Гранит,2,1068.49
sale,2020-01-26,"РАО «Брагина, Русакова и Кошелев»",Посуда,Набор ножей «Overlord»,2,6176.18
buy,2020-01-21,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,1,740.78
sale,2020-01-29,ООО «Дьячкова Коновалов»,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,3,218.74
sale,2020-01-01,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,3,861.46
buy,2020-01-20,Крокус,Мебель,Ручка скоба РС109,5,27.43
sale,2020-01-18,"ЗАО «Исаков, Блохина и Зайцева»",,Игрушка надувная Меч череп,3,844.37
buy,2020-01-14,Крокус,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,4,10439.81
sale,2020-01-10,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Фонарь ручной «Контраст»,5,1588.54
sale,2020-01-02,"РАО «Брагина, Русакова и Кошелев»",Посуда,Миска «Русская» малая,2,705.58
buy,2020-01-18,Крокус,,Пельмени «Башкирские»,6,4984.08
buy,2020-01-23,ТГК-2,Посуда,Набор ножей «Overlord»,2,616.28
buy,2020-01-09,"РАО «Брагина, Русакова и Кошелев»",Мебель,Ручка скоба РС109,10,567.47
buy,2020-01-07,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,3,627.61
sale,2020-01-12,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,5,262.02
buy,2020-01-22,Крокус,,Игрушка надувная Меч череп,3,15.1
sale,2020-01-26,Крокус,Инструменты,Система выравнивания плитки «ПСВП»,6,54.04
buy,2020-01-15,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Корзина сетчатая навесная на полку,1,128.24
buy,2020-01-10,"РАО «Брагина, Русакова и Кошелев»",,Альбом для монет «Деньги Мира»,3,1204.42
buy,2020-01-24,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,2,2235.26
buy,2020-01-02,Крокус,Электротовары,Фонарь ручной «Контраст»,6,43.23
sale,2020-01-09,ТГК-2,,Пельмени «Башкирские»,9,1141.03
buy,2020-01-17,ТГК-2,Быловая химия,Универсальное моющее средство «Выгодная уборка»,9,37.09
sale,2020-01-23,ТГК-2,Электротовары,Зарядное устройство GP U411,10,397.68
buy,2020-01-18,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,3,29.7
sale,2020-01-10,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,3,7037.41
buy,2020-01-16,ТГК-2,Инструменты,Круг отрезной по металлу TSUNAMI,4,167.57
buy,2020-01-27,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,7,279.18
buy,2020-01-03,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,8,123.51
sale,2020-01-09,ТГК-2,,Ручка шариковая MAZARi Silvano Smart Ink,6,68.06
buy,2020-01-25,ТГК-2,Посуда,Сковорода блинная Гранит,1,242.84
sale,2020-01-10,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,2,10565.2
sale,2020-01-19,Крокус,Мебель,Стол раскладной Ялта-1,7,179.92
buy,2020-01-03,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,6,4293.36
buy,2020-01-23,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,1,17248.87
buy,2020-01-05,Крокус,Мебель,Корзина сетчатая навесная на полку,7,10499.9
buy,2020-01-09,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,9,253.32
buy,2020-01-11,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,1,626.52
sale,2020-01-18,Крокус,,Игрушка надувная Меч череп,9,1574.12
buy,2020-01-01,Крокус,Быловая химия,Универсальное моющее средство «Выгодная уборка»,6,80.26
buy,2020-01-18,Крокус,Мебель,Стол раскладной Ялта-1,5,484.28
sale,2020-01-22,ТГК-2,Мебель,Стол раскладной Ялта-1,6,219.36
buy,2020-01-09,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,6,142.36
sale,2020-01-13,ТГК-2,Быловая химия,Жидкий кислород Planet Aquafair,7,8652.16
sale,2020-01-19,Крокус,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,4,1187.54
buy,2020-01-14,"РАО «Брагина, Русакова и Кошелев»",Мебель,Ручка скоба РС109,7,44.43
sale,2020-01-25,ООО «Дьячкова Коновалов»,Инструменты,Система выравнивания плитки «ПСВП»,6,87.96
buy,2020-01-30,Крокус,Посуда,Сковорода блинная Гранит,7,309.3
sale,2020-01-20,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,4,10389.67
sale,2020-01-21,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,1,154.75
buy,2020-01-10,ООО «Дьячкова Коновалов»,Мебель,Стол раскладной Ялта-1,5,1025.39
sale,2020-01-31,Крокус,Посуда,Сковорода блинная Гранит,5,51.78
sale,2020-01-04,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Зарядное устройство GP U411,10,244.27
sale,2020-01-14,ООО «Дьячкова Коновалов»,Мебель,Стол раскладной Ялта-1,2,23.18
buy,2020-01-14,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,10,596.18
buy,2020-01-30,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,4,300.4
sale,2020-01-13,Крокус,Электротовары,Фонарь ручной «Контраст»,4,6794.96
sale,2020-01-24,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,1,3066.03
sale,2020-02-21,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Зарядное устройство GP U411,4,168.81
buy,2020-02-19,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Круг отрезной по металлу TSUNAMI,3,337.43
sale,2020-02-11,ТГК-2,Электротовары,Фонарь ручной «Контраст»,5,109.35
buy,2020-02-26,Крокус,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,8,809.1
buy,2020-02-26,"РАО «Брагина, Русакова и Кошелев»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,2,25496.1
buy,2020-02-27,ООО «Дьячкова Коновалов»,Быловая химия,Жидкий кислород Planet Aquafair,3,117.82
sale,2020-02-22,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Миска «Русская» малая,2,3005.39
buy,2020-02-11,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,8,1125.55
sale,2020-02-26,Крокус,Мебель,Корзина сетчатая навесная на полку,9,122.04
sale,2020-02-05,Крокус,Мебель,Стол раскладной Ялта-1,3,30.21
sale,2020-02-09,Крокус,,Альбом для монет «Деньги Мира»,6,159.14
sale,2020-02-27,ТГК-2,Мебель,Корзина сетчатая навесная на полку,10,29.8
sale,2020-02-28,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Зарядное устройство GP U411,7,1.21
buy,2020-02-08,Крокус,,Ручка шариковая MAZARi Silvano Smart Ink,4,15499.38
sale,2020-02-26,Крокус,Посуда,Миска «Русская» малая,2,7100.3
buy,2020-02-17,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,8,14010.44
sale,2020-02-16,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,10,9722.91
sale,2020-02-13,Крокус,Электротовары,Зарядное устройство GP U411,9,63.71
buy,2020-02-06,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,1,353.4
buy,2020-02-05,ООО «Дьячкова Коновалов»,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,4,7.3
buy,2020-02-20,ТГК-2,,Пельмени «Башкирские»,3,2758.81
sale,2020-02-06,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Фонарь ручной «Контраст»,10,38.45
buy,2020-02-21,ООО «Дьячкова Коновалов»,,Альбом для монет «Деньги Мира»,1,25.56
buy,2020-02-16,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,10,185.53
sale,2020-02-18,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,8,12.14
sale,2020-02-01,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,7,201.22
buy,2020-02-18,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,4,16383.22
sale,2020-02-25,ТГК-2,Посуда,Сковорода блинная Гранит,5,448.65
buy,2020-02-11,ТГК-2,Мебель,Ручка скоба РС109,8,156.1
buy,2020-02-22,ТГК-2,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,7,85.96
sale,2020-02-16,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,4,1114.38
buy,2020-02-20,Крокус,Электротовары,Фонарь ручной «Контраст»,7,896.44
sale,2020-02-15,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,7,79.69
buy,2020-02-05,ТГК-2,Электротовары,Зарядное устройство GP U411,8,946.66
buy,2020-02-02,ООО «Дьячкова Коновалов»,,Альбом для монет «Деньги Мира»,4,342.76
sale,2020-02-16,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,5,171.16
buy,2020-02-23,Крокус,Быловая химия,Жидкий кислород Planet Aquafair,4,6742.46
buy,2020-02-08,"РАО «Брагина, Русакова и Кошелев»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,8,647.56
buy,2020-02-10,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,3,4063.54
buy,2020-02-27,ООО «Дьячкова Коновалов»,Электротовары,Фонарь ручной «Контраст»,6,481.97
sale,2020-02-07,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,9,64.85
buy,2020-02-07,ТГК-2,Электротовары,Зарядное устройство GP U411,3,511.74
buy,2020-02-14,ООО «Дьячкова Коновалов»,Посуда,Набор ножей «Overlord»,10,213.9
buy,2020-02-16,ТГК-2,Мебель,Корзина сетчатая навесная на полку,1,1001.72
buy,2020-02-23,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,6,39.7
sale,2020-02-06,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,9,70.78
sale,2020-02-21,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Ручка скоба РС109,1,1281.13
buy,2020-02-12,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Умный встраиваемый  выключатель HIPER,2,72.1
buy,2020-02-27,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,2,1552.69
sale,2020-02-02,Крокус,Инструменты,Система выравнивания плитки «ПСВП»,10,9429.21
sale,2020-02-09,ООО «Дьячкова Коновалов»,Инструменты,Система выравнивания плитки «ПСВП»,8,114.33
sale,2020-02-07,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,5,2180.11
sale,2020-02-02,"РАО «Брагина, Русакова и Кошелев»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,8,68.0
sale,2020-02-05,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,1,26005.93
sale,2020-02-24,"ЗАО «Исаков, Блохина и Зайцева»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,7,24.16
sale,2020-02-18,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,4,15478.3
sale,2020-02-21,Крокус,,Пельмени «Башкирские»,7,1903.67
buy,2020-02-04,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Миска «Русская» малая,1,504.64
sale,2020-02-21,ТГК-2,Мебель,Корзина сетчатая навесная на полку,7,628.56
buy,2020-02-04,Крокус,Электротовары,Зарядное устройство GP U411,4,4709.11
sale,2020-02-17,Крокус,Электротовары,Зарядное устройство GP U411,7,5056.68
buy,2020-02-10,ТГК-2,Электротовары,Фонарь ручной «Контраст»,6,25.76
sale,2020-02-25,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,3,893.36
buy,2020-02-25,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,3,1248.52
buy,2020-02-12,Крокус,Посуда,Сковорода блинная Гранит,4,8.82
buy,2020-02-03,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,2,1315.25
buy,2020-02-12,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,2,90.86
buy,2020-02-01,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Корзина сетчатая навесная на полку,1,1080.68
sale,2020-02-24,ООО «Дьячкова Коновалов»,Мебель,Корзина сетчатая навесная на полку,9,95.7
buy,2020-02-18,"РАО «Брагина, Русакова и Кошелев»",,Пельмени «Башкирские»,8,10583.8
buy,2020-02-02,"РАО «Брагина, Русакова и Кошелев»",Мебель,Стол раскладной Ялта-1,10,74.95
buy,2020-02-04,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,3,28.49
sale,2020-02-17,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,9,1553.33
sale,2020-02-14,ООО «Дьячкова Коновалов»,,Игрушка надувная Меч череп,4,7642.53
sale,2020-02-13,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,5,340.33
buy,2020-02-02,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,10,93.17
buy,2020-02-06,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,1,9.29
sale,2020-02-18,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,2,7784.54
buy,2020-02-13,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Система выравнивания плитки «ПСВП»,10,507.93
buy,2020-02-14,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,9,232.87
buy,2020-02-07,ТГК-2,,Игрушка надувная Меч череп,4,11018.32
sale,2020-02-18,Крокус,Мебель,Стол раскладной Ялта-1,2,146.88
buy,2020-02-04,ТГК-2,Электротовары,Фонарь ручной «Контраст»,3,37.28
buy,2020-02-26,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,6,96.52
sale,2020-02-04,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,7,2038.11
buy,2020-02-06,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,7,61.66
sale,2020-02-29,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,3,50.92
sale,2020-02-01,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Жидкий кислород Planet Aquafair,8,355.32
sale,2020-02-25,Крокус,Инструменты,Система выравнивания плитки «ПСВП»,3,15689.68
sale,2020-02-14,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Система выравнивания плитки «ПСВП»,1,12.68
buy,2020-02-18,ООО «Дьячкова Коновалов»,Посуда,Сковорода блинная Гранит,3,166.63
buy,2020-02-11,ТГК-2,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,9,150.33
sale,2020-02-13,ТГК-2,Инструменты,Система выравнивания плитки «ПСВП»,5,20382.97
buy,2020-02-16,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,6,652.46
buy,2020-02-18,Крокус,,Игрушка надувная Меч череп,10,1750.54
sale,2020-02-03,"РАО «Брагина, Русакова и Кошелев»",Посуда,Миска «Русская» малая,8,1608.08
buy,2020-02-24,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Сковорода блинная Гранит,8,248.81
sale,2020-02-14,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Миска «Русская» малая,4,9355.26
buy,2020-02-08,"ЗАО «Исаков, Блохина и Зайцева»",,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,1,68.45
buy,2020-02-29,Крокус,Электротовары,Зарядное устройство GP U411,7,1306.52
sale,2020-03-06,ТГК-2,Мебель,Стол раскладной Ялта-1,1,66.57
sale,2020-03-02,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,9,6416.46
sale,2020-03-09,ООО «Дьячкова Коновалов»,Быловая химия,Универсальное моющее средство «Выгодная уборка»,7,118.34
sale,2020-03-22,Крокус,,Ручка шариковая MAZARi Silvano Smart Ink,7,67.6
sale,2020-03-10,ТГК-2,,Ручка шариковая MAZARi Silvano Smart Ink,7,420.11
buy,2020-03-05,ТГК-2,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,1,662.32
buy,2020-03-21,"РАО «Брагина, Русакова и Кошелев»",,Альбом для монет «Деньги Мира»,9,62.49
buy,2020-03-10,"РАО «Брагина, Русакова и Кошелев»",Посуда,Набор ножей «Overlord»,6,18343.1
buy,2020-03-19,"ЗАО «Исаков, Блохина и Зайцева»",Посуда,Набор ножей «Overlord»,3,6.58
sale,2020-03-15,ООО «Дьячкова Коновалов»,Посуда,Миска «Русская» малая,6,77.57
buy,2020-03-27,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,1,413.14
sale,2020-03-15,"РАО «Брагина, Русакова и Кошелев»",Мебель,Ручка скоба РС109,10,127.09
sale,2020-03-18,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Круг отрезной по металлу TSUNAMI,7,12627.55
buy,2020-03-18,Крокус,Посуда,Миска «Русская» малая,8,1146.2
sale,2020-03-10,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,4,605.34
buy,2020-03-25,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,2,7.24
buy,2020-03-28,"ЗАО «Исаков, Блохина и Зайцева»",,Игрушка надувная Меч череп,6,119.65
sale,2020-03-25,Крокус,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,9,8461.66
sale,2020-03-20,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,3,23150.06
buy,2020-03-02,ТГК-2,Быловая химия,Универсальное моющее средство «Выгодная уборка»,5,8325.62
sale,2020-03-19,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,1,1.67
buy,2020-03-27,ООО «Дьячкова Коновалов»,,Альбом для монет «Деньги Мира»,9,18.1
sale,2020-03-09,"ЗАО «Исаков, Блохина и Зайцева»",Электротовары,Фонарь ручной «Контраст»,5,533.56
sale,2020-03-23,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,6,1776.69
sale,2020-03-03,ООО «Дьячкова Коновалов»,Быловая химия,Универсальное моющее средство «Выгодная уборка»,5,96.73
buy,2020-03-06,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Круг отрезной по металлу TSUNAMI,6,232.9
sale,2020-03-05,"РАО «Брагина, Русакова и Кошелев»",Мебель,Ручка скоба РС109,2,564.94
sale,2020-03-25,ООО «Дьячкова Коновалов»,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,2,4942.72
buy,2020-03-13,"РАО «Брагина, Русакова и Кошелев»",,Альбом для монет «Деньги Мира»,6,1.67
buy,2020-03-22,"РАО «Брагина, Русакова и Кошелев»",,Игрушка надувная Меч череп,4,11379.9
sale,2020-03-05,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,5,265.49
sale,2020-03-29,Крокус,Посуда,Набор ножей «Overlord»,3,49.04
sale,2020-03-27,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,3,2475.31
sale,2020-03-26,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,8,146.3
buy,2020-03-08,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,9,5574.31
buy,2020-03-25,Крокус,,Роспись по номерам на холсте 40*50 «РОЗОВЫЕ ЦВЕТЫ В САДУ»,10,67.35
buy,2020-03-17,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,2,78.98
sale,2020-03-01,Крокус,,Ручка шариковая MAZARi Silvano Smart Ink,2,4109.94
sale,2020-03-30,"РАО «Брагина, Русакова и Кошелев»",Электротовары,Умный встраиваемый  выключатель HIPER,2,374.86
buy,2020-03-23,ООО «Дьячкова Коновалов»,Посуда,Набор ножей «Overlord»,5,1928.98
buy,2020-03-22,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,2,10.01
sale,2020-03-17,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,9,18306.41
buy,2020-03-30,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Круг отрезной по металлу TSUNAMI,8,247.74
sale,2020-03-20,"РАО «Брагина, Русакова и Кошелев»",,Пельмени «Башкирские»,2,775.09
sale,2020-03-29,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,10,11680.24
buy,2020-03-23,ТГК-2,Быловая химия,Жидкий кислород Planet Aquafair,3,1647.71
sale,2020-03-31,ООО «Дьячкова Коновалов»,Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,2,10554.91
sale,2020-03-08,Крокус,Электротовары,Умный встраиваемый  выключатель HIPER,6,2678.85
sale,2020-03-14,ТГК-2,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,3,1230.1
buy,2020-03-22,"ЗАО «Исаков, Блохина и Зайцева»",Инструменты,Система выравнивания плитки «ПСВП»,9,6606.12
buy,2020-03-01,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,2,1257.74
buy,2020-03-03,Крокус,Электротовары,Фонарь ручной «Контраст»,10,304.54
buy,2020-03-19,Крокус,Посуда,Набор ножей «Overlord»,9,5194.5
buy,2020-03-14,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,5,595.12
buy,2020-03-29,Крокус,,Пельмени «Башкирские»,9,83.09
buy,2020-03-02,Крокус,Мебель,Корзина сетчатая навесная на полку,3,38.74
sale,2020-03-07,"ЗАО «Исаков, Блохина и Зайцева»",,Ручка шариковая MAZARi Silvano Smart Ink,6,1812.27
